Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_geographiques;Departement
77005;ANNET SUR MARNE;77410;;ANNET SUR MARNE;48.922737777, 2.708489113;77
77021;BARBEY;77130;;BARBEY;48.366051746, 3.049435365;77
77108;CHELLES;77500;CHANTEREINE;CHELLES;48.883978399, 2.597093098;77
77119;CLOS FONTAINE;77370;;CLOS FONTAINE;48.60375723, 3.01508081;77
77158;DIANT;77940;;DIANT;48.291266938, 3.00495785;77
77199;FUBLAINES;77470;;FUBLAINES;48.939069191, 2.941772854;77
77216;GREZ SUR LOING;77880;;GREZ SUR LOING;48.306573076, 2.677572073;77
77241;JUILLY;77230;;JUILLY;49.021562823, 2.705808218;77
77384;REAU;77550;;REAU;48.60739655, 2.623860846;77
77421;ST MARS VIEUX MAISONS;77320;VIEUX MAISONS;ST MARS VIEUX MAISONS;48.737755116, 3.319855573;77
77473;TREUZY LEVELAY;77710;;TREUZY LEVELAY;48.27338657, 2.794471414;77
77483;VARREDDES;77910;;VARREDDES;49.006153676, 2.927393304;77
78237;FLINS NEUVE EGLISE;78790;;FLINS NEUVE EGLISE;48.892354684, 1.576845333;78
78299;HARDRICOURT;78250;;HARDRICOURT;49.011064768, 1.888263613;78
78385;MENERVILLE;78200;;MENERVILLE;48.956845045, 1.596617575;78
78423;MONTIGNY LE BRETONNEUX;78180;;MONTIGNY LE BRETONNEUX;48.779791576, 2.02991435;78
91135;CHAMPCUEIL;91750;;CHAMPCUEIL;48.506910904, 2.448311474;91
91386;MENNECY;91540;;MENNECY;48.558579656, 2.438037857;91
91390;LE MEREVILLOIS;91660;ESTOUCHES;LE MEREVILLOIS;48.316157016, 2.083754497;91
91435;MORSANG SUR SEINE;91250;;MORSANG SUR SEINE;48.576190008, 2.500983788;91
91468;ORMOY;91540;;ORMOY;48.573066676, 2.458280782;91
91544;ST CYR LA RIVIERE;91690;;ST CYR LA RIVIERE;48.350493528, 2.137063349;91
91629;VALPUISEAUX;91720;;VALPUISEAUX;48.392223905, 2.303167474;91
94022;CHOISY LE ROI;94600;;CHOISY LE ROI;48.764258643, 2.417182182;94
94054;ORLY;94310;;ORLY;48.742794575, 2.394977;94
95205;ECOUEN;95440;;ECOUEN;49.025890296, 2.384418866;95
95268;GARGES LES GONESSE;95140;;GARGES LES GONESSE;48.970423332, 2.404581275;95
95351;LOUVRES;95380;;LOUVRES;49.042203512, 2.503963388;95
95387;MENOUVILLE;95810;;MENOUVILLE;49.153832285, 2.106475528;95
77044;BOMBON;77720;;BOMBON;48.568221511, 2.86744698;77
77146;CROISSY BEAUBOURG;77183;;CROISSY BEAUBOURG;48.816552165, 2.655772784;77
77163;DOUY LA RAMEE;77139;;DOUY LA RAMEE;49.061765862, 2.884186487;77
77169;EMERAINVILLE;77184;MALNOUE;EMERAINVILLE;48.819430023, 2.609262864;77
77193;FORFRY;77165;;FORFRY;49.053502909, 2.849150783;77
77265;LUZANCY;77138;;LUZANCY;48.978609052, 3.1811501;77
77273;MARCHEMORET;77230;;MARCHEMORET;49.052813703, 2.751764033;77
77296;MOISSY CRAMAYEL;77550;;MOISSY CRAMAYEL;48.628525567, 2.595898134;77
77304;MONTENILS;77320;;MONTENILS;48.835171867, 3.478413935;77
77307;MONTEVRAIN;77144;;MONTEVRAIN;48.868332771, 2.749449617;77
77393;ROZAY EN BRIE;77540;;ROZAY EN BRIE;48.683045763, 2.964733839;77
